Condition,RedToyReward,YellowToyReward,LearnC,LearnR,TeachC,TeachR,DiscoverC,DiscoverR,ExploreProb,TeacherReward,Decision
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,6,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,6,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,6,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,7,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,7,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,7,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,7,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,7,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,7,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,7,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,7,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,7,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,8,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,8,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,8,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,8,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,8,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,8,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,8,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,8,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,8,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,9,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,9,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,9,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,9,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,9,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,9,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,9,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,9,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,9,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,10,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,10,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,10,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,10,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,10,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,10,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,10,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,10,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,10,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,11,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,11,3,1,1,0,1,0,0,1,Variable,RedToy
